,year,races,champion,car_owner,crew_chief,rookie_of_year,most_popular_driver,manufacturers_championship
0,2025,33,Jesse Love,Richard Childress,Danny Stockman,Connor Zilisch,Justin Allgaier,Chevrolet
1,2024,33,Justin Allgaier,JR Motorsports,James Pohlman,Jesse Love,Justin Allgaier,Chevrolet
2,2023,33,Cole Custer,Stewart-Haas Racing,Jonathan Toney,Sammy Smith,Justin Allgaier,Chevrolet
3,2022,33,Ty Gibbs,Joe Gibbs,Chris Gayle,Austin Hill,Noah Gragson,Chevrolet
4,2021,33,Daniel Hemric,Joe Gibbs,Dave Rogers,Ty Gibbs,Justin Allgaier,Chevrolet
5,2020,33,Austin Cindric,Roger Penske,Brian Wilson,Harrison Burton,Justin Allgaier,Chevrolet
6,2019,33,Tyler Reddick,Richard Childress,Randall Burnett,Chase Briscoe,Justin Allgaier,Chevrolet
7,2018,33,Tyler Reddick,JR Motorsports,David Elenz & Mike Bumgarner,Tyler Reddick,Elliott Sadler,Chevrolet
8,2017,33,William Byron,JR Motorsports,David Elenz & Brandon McSwain,William Byron,Elliott Sadler,Chevrolet
9,2016,33,Daniel Suarez,Joe Gibbs,Scott Graves,Erik Jones,Elliott Sadler,Toyota
10,2015,33,Chris Buescher,Jack Roush,Scott Graves,Daniel Suarez,Chase Elliott,Chevrolet
11,2014,33,Chase Elliott,JR Motorsports,Greg Ives,Chase Elliott,Chase Elliott,Chevrolet
12,2013,33,Austin Dillon,Richard Childress,"Danny Stockman, Jr.",Kyle Larson,Regan Smith,Ford
13,2012,33,"Ricky Stenhouse, Jr.",Jack Roush,Mike Kelley,Austin Dillon,Danica Patrick,Chevrolet
14,2011,34,"Ricky Stenhouse, Jr.",Jack Roush,Mike Kelley,Timmy Hill,Elliott Sadler,Ford
15,2010,35,Brad Keselowski,Roger Penske,Paul Wolfe,"Ricky Stenhouse, Jr.",Brad Keselowski,Toyota
16,2009,35,Kyle Busch,Joe Gibbs,Joel Weidman & Jason Ratcliff,Justin Allgaier,Brad Keselowski,Toyota
17,2008,35,Clint Bowyer,Richard Childress,Dan Deeringhoff,Landon Cassill,Brad Keselowski,Toyota
18,2007,35,Carl Edwards,Jack Roush,Pierre Kuettel,David Ragan,Carl Edwards,Chevrolet
19,2006,35,Kevin Harvick,Richard Childress,Shane Wilson,"Danny O'Quinn, Jr.",Kenny Wallace,Chevrolet
20,2005,35,"Martin Truex, Jr.","Dale Earnhardt, Inc.",Kevin Manion,Carl Edwards,"Martin Truex, Jr.",Chevrolet
21,2004,34,"Martin Truex, Jr.","Dale Earnhardt, Inc.",Kevin Manion,Kyle Busch,"Martin Truex, Jr.",Chevrolet
22,2003,34,Brian Vickers,Ricky Hendrick,Lance McGrew,David Stremme,Scott Riggs,Chevrolet
23,2002,34,Greg Biffle,Jack Roush,Randy Goss,Scott Riggs,Greg Biffle,Ford
24,2001,33,Kevin Harvick,Richard Childress,Todd Berrier,Greg Biffle,Kevin Harvick,Chevrolet
25,2000,32,Jeff Green,Greg Pollex,Harold Holly,Kevin Harvick,"Ron Hornaday, Jr.",Chevrolet
26,1999,32,"Dale Earnhardt, Jr.",Dale Earnhardt,"Tony Eury, Sr.",Tony Raines,"Dale Earnhardt, Jr.",Chevrolet
27,1998,31,"Dale Earnhardt, Jr.",Dale Earnhardt,"Tony Eury, Sr.",Andy Santerre,Buckshot Jones,Chevrolet
28,1997,30,Randy LaJoie,Bill Baumgardner,Steve Bird,Steve Park,Mike McLaughlin,Chevrolet
29,1996,26,Randy LaJoie,Bill Baumgardner,Steve Bird,"Glenn Allen, Jr.",David Green,Chevrolet
30,1995,26,"Johnny Benson, Jr.",Bill Baumgardner,Steve Bird,Jeff Fuller,Chad Little,Ford
31,1994,28,David Green,Bob Labonte,Bob Labonte,"Johnny Benson, Jr.",Kenny Wallace,Chevrolet
32,1993,28,Steve Grissom,Wayne Grissom,Bryant Frazier,Hermie Sadler,Joe Nemechek,Chevrolet
33,1992,31,Joe Nemechek,Joe Nemechek,Vic Kangas,Ricky Craven,Joe Nemechek,Chevrolet
34,1991,31,Bobby Labonte,Bob Labonte,Bob Labonte,Jeff Gordon,Kenny Wallace,Oldsmobile
35,1990,31,Chuck Bown,Hubert Hensley,Jeff Hensley,Joe Nemechek,Bobby Labonte,Buick
36,1989,29,Rob Moroso,Dick Moroso,Steve Bird,Kenny Wallace,Rob Moroso,Buick
37,1988,30,Tommy Ellis,John Jackson,Mike Hillman,,Larry Pearson,Buick
38,1987,27,Larry Pearson,David Pearson,Ricky Pearson,,Jimmy Hensley,Chevrolet
39,1986,31,Larry Pearson,David Pearson,Ricky Pearson,,Brett Bodine,Pontiac
40,1985,27,Jack Ingram,Jack Ingram,Jack Ingram,,Jimmy Hensley,Pontiac
41,1984,29,Sam Ard,Howard Thomas,Gere Kennon,,Sam Ard,Pontiac
42,1983,35,Sam Ard,Howard Thomas,Jesse Coke & Gere Kennon,,Sam Ard,Oldsmobile
43,1982,29,Jack Ingram,Jack Ingram,Jack Ingram,,Jack Ingram,Pontiac
