,driver_name,driver_id,race_date,series,track_name_x,start,mid,finish,best,worst,avg,green_flag_passing_diff,green_flag_passes,green_flag_times_passed,quality_passes,pct_quality_passes,fastest_lap,top_15_laps,pct_top_15_laps,laps_led,pct_laps_led,laps,rating,status,car_number,sponsor_owner,points,track_name_y,race_id
0,Rajah Caruth,4422,2026-02-15,O'Reilly,Daytona International Speedway,7,5,10,1,21,9.69,-4,204,208,165,80.88235294117646,5,97,80.83333333333333,1,0.8333333333333334,120,93.33,running,88,HendrickCars.com ( JR Motorsports ),34,Daytona International Speedway,2026_01
1,Rajah Caruth,4422,2026-02-22,O'Reilly,Atlanta Motor Speedway,6,1,8,1,22,6.26,14,127,113,111,87.4015748031496,3,157,96.31901840490798,22,13.496932515337424,163,110.0,running,88,HendrickCars.com ( JR Motorsports ),48,EchoPark Speedway,2026_02
2,Rajah Caruth,4422,2026-02-28,O'Reilly,Circuit of The Americas,19,14,31,6,33,14.98,-10,33,43,18,54.54545454545455,1,42,64.61538461538461,0,0.0,65,70.05,running,88,HendrickCars.com ( JR Motorsports ),8,Circuit of the Americas,2026_03
3,Rajah Caruth,4422,2026-03-08,O'Reilly,Phoenix Raceway,25,18,8,1,26,18.5,1,68,67,22,32.35294117647059,1,38,19.0,1,0.5,200,75.22,running,32,Jordan Anderson,29,Phoenix Raceway,2026_04
4,Rajah Caruth,4422,2026-03-15,O'Reilly,Las Vegas Motor Speedway,8,16,19,9,34,18.89,-12,63,75,24,38.095238095238095,0,98,49.0,0,0.0,200,63.33,running,32,Donut Media ( Jordan Anderson ),18,Las Vegas Motor Speedway,2026_05
5,Rajah Caruth,4422,2026-03-22,O'Reilly,Darlington Raceway,19,22,23,11,24,20.14,-11,34,45,3,8.823529411764707,2,16,10.884353741496598,0,0.0,147,57.62,running,32,Black Effect ( Jordan Anderson ),14,Darlington Raceway,2026_06
6,Rajah Caruth,4422,2026-03-28,O'Reilly,Martinsville Speedway,2,4,25,1,31,9.91,2,50,48,20,40.0,7,172,68.8,18,7.2,250,81.91,running,88,HendrickCars.com ( JR Motorsports ),24,Martinsville Speedway,2026_07
7,Rajah Caruth,4422,2026-04-04,O'Reilly,Rockingham Speedway,13,4,4,3,16,8.28,11,33,22,30,90.9090909090909,11,237,94.8,0,0.0,250,99.63,running,88,HendrickCars.com ( JR Motorsports ),40,Rockingham Speedway,2026_08
8,Rajah Caruth,4422,2026-04-12,O'Reilly,Bristol Motor Speedway,38,19,14,6,38,20.52,18,89,71,22,24.719101123595507,2,24,8.0,0,0.0,300,66.31,running,32,HendrickCars.com ( Jordan Anderson ),23,Bristol Motor Speedway,2026_09
9,Rajah Caruth,4422,2026-04-19,O'Reilly,Kansas Speedway,13,18,21,10,30,19.35,-13,56,69,10,17.857142857142858,0,18,9.090909090909092,0,0.0,198,56.67,running,32,HendrickCars.com ( Jordan Anderson ),16,Kansas Speedway,2026_10
10,Rajah Caruth,4422,2026-04-25,O'Reilly,Talladega Superspeedway,7,8,30,1,34,16.26,-18,227,245,166,73.12775330396475,0,64,57.142857142857146,5,4.464285714285714,112,54.91,running,88,HendrickCars.com ( JR Motorsports ),14,Talladega Superspeedway,2026_11
11,Rajah Caruth,4422,2026-05-02,O'Reilly,Texas Motor Speedway,13,17,34,1,23,18.32,-2,48,50,14,29.166666666666668,0,33,18.33333333333333,2,1.1111111111111112,180,57.08,accident,32,HendrickCars.com ( Jordan Anderson ),3,Texas Motor Speedway,2026_12
